Child Age At Placement,Child Gender,Child Ethnicity,Child Prior Placements,Returning Child,Missing Episodes,Sibling Group Size,Placed With Siblings,Carer Age,Carer Gender,Carer Ethnicity,Placement Type,Placement Start Date,Move Date,Days Placed,Move Reason,Distance From Home (miles),EH involvement,YOT involvement,Placement Sequence Number
11,Female,Asian/British Asian - Bangladeshi,0,False,6,3,True,40,Female,White - British,In-House Fostering,2023-03-08,2023-03-25,17,Child requests end,7.1,False,False,1
13,Female,White - British,4,True,0,5,True,60,Trans Male,White - British,In-House Fostering,2022-03-23,2022-06-25,94,Allegation,18.03,False,False,5
10,Male,White - British,2,True,6,5,True,39,Female,White - British,External Fostering,2022-10-10,2023-04-30,202,Planned move,0.18,True,False,3
4,Male,Asian/British Asian - Pakistani,0,False,6,0,False,49,Male,White - British,In-House Fostering,2022-01-06,2022-02-12,37,Child requests end,17.67,False,True,1
8,Female,Asian/British Asian - Pakistani,3,True,1,4,True,47,Female,Mixed - White/Asian,External Fostering,2024-12-30,2035-01-11,3664,Carer requests end,5.41,False,False,4
11,Male,White - British,3,True,5,4,True,50,Trans Female,White - British,External Fostering,2024-12-26,2026-05-03,493,Planned move,10.29,False,True,4
8,Female,Mixed - White/Asian,3,True,0,5,True,39,Female,White - Eastern European,In-House Fostering,2025-08-20,2026-04-29,252,Planned move,3.87,True,True,4
2,Male,Asian/British Asian - Pakistani,0,False,7,1,False,60,Male,Asian/British Asian - Bangladeshi,External Fostering,2023-03-21,2026-02-22,1069,Child requests end,8.62,True,False,1
2,Female,White - Other,2,True,1,1,False,35,Female,White - British,External Fostering,2025-06-01,2025-09-11,102,Behaviour concerns,3.08,False,True,3
6,Male,White - British,0,False,0,4,True,35,Male,White - Central European,In-House Fostering,2022-03-15,2022-05-26,72,Allegation,2.15,True,False,1
5,Trans Male,White - British,1,True,5,4,True,50,Female,White - British,External Fostering,2022-05-18,2026-02-14,1368,Child requests end,18.63,True,True,2
5,Female,White - British,2,True,7,4,True,54,Female,White - British,Kinship,2024-02-01,2024-02-06,5,Behaviour concerns,1.56,True,False,3
5,Male,White - British,0,False,1,4,True,53,Female,Dual Heritage - Black/White,In-House Fostering,2023-05-19,2023-05-30,11,Behaviour concerns,0.78,False,True,1
6,Female,White - Eastern European,0,False,3,1,False,54,Female,Asian/British Asian - Pakistani,External Fostering,2024-01-30,2025-06-05,492,Carer requests end,8.16,True,False,1
8,Trans Male,White - British,5,True,6,0,False,46,Female,White - British,In-House Fostering,2022-12-02,2023-05-10,159,Behaviour concerns,15.53,False,True,6
7,Male,White - British,0,False,1,0,False,48,Female,White - British,In-House Fostering,2023-07-05,2023-09-23,80,Carer requests end,16.29,False,True,1
8,Female,Asian/British Asian - Indian,0,False,5,2,True,60,Female,Asian/British Asian - Pakistani,Kinship,2024-10-23,2025-01-31,100,Allegation,4.21,True,True,1
9,Female,White - British,0,False,7,2,True,45,Male,Asian/British Asian - Pakistani,In-House Fostering,2025-07-22,2025-08-20,29,Allegation,15.47,False,False,1
7,Trans Female,White - British,2,True,7,2,True,45,Female,White - Eastern European,In-House Fostering,2023-07-01,2024-08-18,414,Behaviour concerns,10.69,True,False,3
9,Trans Male,White - British,0,False,1,2,True,56,Male,Mixed - White/Black Caribbean,Kinship,2023-10-05,2023-10-21,16,Planned move,2.89,True,False,1
5,Male,Asian/British Asian - Indian,0,False,6,5,True,46,Female,White - British,In-House Fostering,2022-10-17,2023-12-12,421,Child requests end,13.12,False,True,1
7,Female,Asian/British Asian - Pakistani,4,True,1,1,False,40,Female,Asian/British Asian - Pakistani,Residential,2024-12-22,2026-03-10,443,Planned move,36.37,True,False,5
7,Male,White - British,5,True,4,0,False,43,Trans Female,Asian/British Asian - Pakistani,Kinship,2023-04-11,2023-05-07,26,Placement stability concerns,0.24,False,True,6
6,Male,White - British,2,True,1,1,False,43,Trans Female,White - Other,In-House Fostering,2025-03-05,2025-06-08,95,Allegation,9.7,True,False,3
5,Non binary,White - British,1,True,0,1,False,56,Male,White - British,External Fostering,2022-10-15,2023-12-24,435,Placement stability concerns,15.73,False,False,2
11,Female,White - British,0,False,5,2,True,50,Female,White - British,External Fostering,2025-03-01,2027-01-16,686,Behaviour concerns,16.37,False,True,1
9,Trans Female,White - British,0,False,2,0,False,42,Female,Asian/British Asian - Pakistani,In-House Fostering,2025-10-02,2026-07-09,280,Allegation,16.26,False,False,1
10,Female,Asian/British Asian - Other,0,False,4,3,True,46,Male,White - British,In-House Fostering,2023-11-03,2024-12-17,410,Carer requests end,12.91,False,False,1
5,Non binary,White - British,2,True,2,1,False,45,Non binary,White - British,Kinship,2022-05-05,2023-02-14,285,Placement stability concerns,3.52,True,True,3
10,Male,White - British,3,True,4,2,True,49,Female,White - British,In-House Fostering,2024-03-27,2024-09-14,171,Allegation,0.91,True,False,4
9,Female,White - British,3,True,7,0,False,39,Female,White - British,Kinship,2023-06-15,2030-05-09,2520,Child requests end,4.5,False,False,4
9,Female,Asian/British Asian - Indian,1,True,2,0,False,52,Male,White - British,In-House Fostering,2024-05-29,2024-09-22,116,Carer requests end,14.73,False,False,2
7,Female,White - British,0,False,5,2,True,38,Male,White - British,In-House Fostering,2022-07-08,2024-09-24,809,Child requests end,2.71,False,True,1
10,Trans Female,Asian/British Asian - Pakistani,0,False,4,2,True,50,Male,White - Eastern European,In-House Fostering,2025-02-19,2025-06-29,130,Planned move,0.26,True,True,1
6,Male,White - British,4,True,7,3,True,37,Trans Male,White - British,External Fostering,2024-03-14,2025-02-16,339,Allegation,13.73,True,True,5
8,Trans Male,White - Irish,0,False,5,4,True,44,Male,White - Eastern European,In-House Fostering,2024-05-02,2024-07-07,66,Carer requests end,14.97,False,False,1
5,Female,White - British,3,True,4,2,True,55,Non binary,Asian/British Asian - Pakistani,External Fostering,2025-06-26,2025-12-09,166,Planned move,2.7,True,False,4
4,Female,White - British,1,True,6,1,False,60,Female,White - British,External Fostering,2024-05-13,2024-07-23,71,Child requests end,17.7,False,True,2
11,Non binary,Asian/British Asian - Pakistani,1,True,2,1,False,48,Female,Black/Black British - Caribbean,External Fostering,2023-02-09,2024-04-09,425,Child requests end,3.39,False,False,2
7,Female,Asian/British Asian - Bangladeshi,1,True,2,2,True,58,Male,White - British,External Fostering,2023-02-11,2025-04-26,805,Behaviour concerns,19.68,False,True,2
12,Male,Asian/British Asian - Bangladeshi,0,False,6,3,True,56,Female,White - British,In-House Fostering,2024-07-09,2033-05-07,3224,Child requests end,0.93,False,False,1
7,Female,Black/Black British - African,3,True,0,1,False,60,Male,Asian/British Asian - Pakistani,External Fostering,2022-05-03,2022-05-18,15,Planned move,15.44,True,True,4
6,Male,White - British,1,True,4,1,False,39,Female,White - British,External Fostering,2025-02-18,2026-02-27,374,Child requests end,16.53,False,True,2
4,Male,White - British,0,False,7,1,False,42,Female,Black/Black British - Other,In-House Fostering,2022-12-16,2023-03-08,82,Child requests end,16.51,False,True,1
9,Trans Male,White - Other,5,True,2,4,True,41,Male,Dual Heritage - Black/White,Residential,2022-09-20,2022-12-08,79,Planned move,77.67,True,False,6
8,Male,White - British,3,True,3,4,True,49,Female,Asian/British Asian - Pakistani,Residential,2025-05-03,2025-05-23,20,Behaviour concerns,90.9,True,False,4
7,Trans Male,White - Eastern European,0,False,1,4,True,56,Male,Asian/British Asian - Pakistani,Kinship,2022-11-23,2023-11-13,355,Carer requests end,0.07,False,True,1
4,Female,White - British,5,True,5,1,False,43,Female,Asian/British Asian - Bangladeshi,In-House Fostering,2023-12-11,2023-12-27,16,Behaviour concerns,10.39,True,True,6
10,Female,Mixed - White/Asian,5,True,2,5,True,39,Male,Asian/British Asian - Pakistani,External Fostering,2023-07-03,2028-10-14,1930,Placement stability concerns,10.45,False,True,6
11,Female,White - British,3,True,2,1,False,46,Trans Male,Asian/British Asian - Pakistani,External Fostering,2024-12-14,2025-02-28,76,Carer requests end,9.42,False,False,4
13,Female,White - Other,0,False,3,5,True,52,Trans Male,Asian/British Asian - Pakistani,Residential,2022-01-26,2023-03-07,405,Placement stability concerns,21.56,True,True,1
8,Female,White - British,0,False,5,5,True,38,Male,White - British,Kinship,2023-07-16,2023-09-05,51,Placement stability concerns,0.09,True,False,1
9,Male,White - British,0,False,5,0,False,56,Male,White - British,External Fostering,2022-03-17,2022-06-25,100,Placement stability concerns,10.74,True,False,1
8,Female,White - British,4,True,5,4,True,42,Female,Asian/British Asian - Pakistani,In-House Fostering,2022-01-23,2023-05-15,477,Carer requests end,6.51,False,True,5
6,Trans Female,White - British,0,False,0,4,True,42,Trans Female,White - British,In-House Fostering,2023-07-08,2025-01-18,560,Behaviour concerns,19.98,False,False,1
6,Male,Asian/British Asian - Pakistani,0,False,3,3,True,44,Male,White - British,Kinship,2024-01-18,2025-04-18,456,Child requests end,2.7,True,False,1
8,Female,White - British,0,False,4,5,True,50,Trans Female,Asian/British Asian - Pakistani,In-House Fostering,2022-10-02,2025-07-27,1029,Child requests end,16.73,True,False,1
10,Male,White - British,1,True,7,1,False,42,Trans Female,Asian/British Asian - Pakistani,In-House Fostering,2024-11-01,2024-11-26,25,Child requests end,0.12,True,False,2
9,Male,White - British,0,False,3,5,True,51,Male,White - British,Residential,2024-10-31,2025-01-11,72,Carer requests end,73.42,False,False,1
13,Female,White - British,3,True,6,1,False,48,Female,White - British,In-House Fostering,2024-06-20,2024-07-15,25,Placement stability concerns,10.9,False,True,4
8,Male,White - British,3,True,4,2,True,41,Male,Mixed - White/Asian,External Fostering,2025-01-03,2025-12-07,338,Allegation,14.26,True,True,4
6,Male,White - British,3,True,6,0,False,46,Non binary,White - British,Kinship,2023-08-21,2023-11-19,90,Carer requests end,2.47,True,True,4
9,Male,White - British,3,True,4,0,False,45,Trans Male,White - British,In-House Fostering,2023-10-09,2023-12-13,65,Planned move,10.26,True,False,4
3,Female,White - British,0,False,3,1,False,35,Female,Asian/British Asian - Pakistani,External Fostering,2025-05-24,2026-01-22,243,Carer requests end,13.48,True,False,1
6,Female,Asian/British Asian - Other,2,True,7,1,False,55,Male,White - British,External Fostering,2023-09-28,2027-02-26,1247,Placement stability concerns,4.16,False,True,3
2,Male,White - British,3,True,7,1,False,46,Trans Female,White - British,Kinship,2024-05-20,2024-06-02,13,Carer requests end,1.89,False,False,4
17,Trans Female,White - British,5,True,3,4,True,54,Trans Male,White - British,Kinship,2022-04-26,2023-06-15,415,Planned move,3.17,False,False,6
1,Female,White - British,0,False,3,3,True,45,Female,White - British,Residential,2023-07-11,2024-05-22,316,Carer requests end,29.79,False,False,1
8,Female,Dual Heritage - Black/White,0,False,1,5,True,44,Female,White - Other,External Fostering,2025-04-03,2025-12-25,266,Child requests end,19.58,False,True,1
7,Trans Male,Asian/British Asian - Pakistani,2,True,1,1,False,40,Male,Asian/British Asian - Pakistani,In-House Fostering,2024-11-14,2026-08-07,631,Behaviour concerns,19.86,True,True,3
7,Male,Asian/British Asian - Bangladeshi,0,False,4,0,False,57,Female,White - British,External Fostering,2025-06-10,2025-06-22,12,Child requests end,15.68,True,False,1
8,Female,Asian/British Asian - Pakistani,4,True,1,2,True,55,Female,White - British,In-House Fostering,2025-06-10,2025-09-11,93,Child requests end,9.16,False,False,5
8,Trans Female,White - Central European,0,False,6,1,False,55,Male,White - Central European,External Fostering,2024-10-05,2024-10-17,12,Behaviour concerns,16.85,True,True,1
5,Male,White - British,4,True,6,4,True,47,Male,Asian/British Asian - Pakistani,In-House Fostering,2024-12-13,2025-03-07,84,Carer requests end,6.93,True,True,5
9,Female,Asian/British Asian - Indian,0,False,6,4,True,54,Male,Asian/British Asian - Bangladeshi,In-House Fostering,2023-06-15,2023-09-16,93,Allegation,5.61,True,True,1
9,Female,Asian/British Asian - Pakistani,3,True,2,5,True,59,Male,Asian/British Asian - Pakistani,In-House Fostering,2024-05-12,2028-04-16,1435,Planned move,6.35,False,True,4
8,Male,White - British,1,True,7,4,True,43,Female,White - British,In-House Fostering,2023-03-04,2023-10-05,215,Placement stability concerns,1.69,True,False,2
6,Trans Male,Asian/British Asian - Pakistani,5,True,4,3,True,57,Female,White - British,External Fostering,2024-08-26,2025-05-09,256,Planned move,2.07,True,False,6
3,Male,Dual Heritage - Black/White,0,False,7,1,False,50,Male,Asian/British Asian - Pakistani,External Fostering,2025-04-21,2025-11-02,195,Child requests end,0.46,False,False,1
7,Female,Asian/British Asian - Indian,0,False,5,5,True,50,Male,White - British,In-House Fostering,2024-12-04,2032-08-14,2810,Placement stability concerns,8.16,False,True,1
6,Trans Female,Traveller - Other,5,True,7,0,False,47,Male,White - British,External Fostering,2024-04-17,2027-09-20,1251,Behaviour concerns,7.37,True,True,6
14,Female,White - British,2,True,3,5,True,49,Female,White - British,In-House Fostering,2025-09-06,2029-10-05,1490,Planned move,14.42,True,False,3
8,Female,Asian/British Asian - Bangladeshi,0,False,1,0,False,52,Female,White - Central European,In-House Fostering,2024-01-29,2024-04-30,92,Allegation,2.69,False,False,1
9,Male,White - British,4,True,2,2,True,47,Male,White - British,In-House Fostering,2024-08-15,2025-03-28,225,Allegation,3.74,True,True,5
5,Trans Female,White - British,0,False,7,5,True,49,Female,Asian/British Asian - Pakistani,In-House Fostering,2022-08-15,2022-10-24,70,Behaviour concerns,14.04,False,False,1
6,Female,White - British,4,True,4,1,False,43,Male,White - British,External Fostering,2023-04-22,2023-06-09,48,Planned move,15.65,False,True,5
5,Trans Female,Asian/British Asian - Pakistani,3,True,2,2,True,40,Female,White - British,In-House Fostering,2022-08-11,2022-10-27,77,Allegation,2.81,True,True,4
7,Male,White - British,0,False,6,3,True,43,Female,White - British,Kinship,2025-09-22,2026-04-10,200,Behaviour concerns,0.74,False,True,1
6,Male,White - British,3,True,4,3,True,39,Female,White - British,Kinship,2023-06-25,2025-02-19,605,Placement stability concerns,2.43,False,True,4
6,Male,White - British,4,True,2,4,True,60,Male,White - British,External Fostering,2024-08-05,2025-06-17,316,Child requests end,12.75,True,False,5
4,Male,Asian/British Asian - Pakistani,5,True,1,5,True,36,Male,White - British,In-House Fostering,2024-02-20,2024-07-06,137,Carer requests end,2.04,False,True,6
10,Trans Female,White - British,0,False,3,0,False,41,Trans Female,Mixed - White/Black Caribbean,In-House Fostering,2023-06-12,2025-07-29,778,Allegation,19.46,True,True,1
9,Trans Female,Asian/British Asian - Pakistani,3,True,1,4,True,39,Female,White - British,External Fostering,2022-05-29,2022-08-08,71,Behaviour concerns,9.24,False,True,4
6,Female,White - British,0,False,1,2,True,40,Non binary,White - British,In-House Fostering,2023-09-14,2023-11-20,67,Placement stability concerns,11.07,False,True,1
10,Female,Asian/British Asian - Pakistani,0,False,4,5,True,43,Female,Asian/British Asian - Pakistani,In-House Fostering,2024-10-10,2024-11-13,34,Child requests end,16.23,True,False,1
7,Male,White - British,2,True,4,3,True,50,Female,White - British,In-House Fostering,2024-05-04,2024-08-08,96,Planned move,15.61,True,True,3
6,Male,Asian/British Asian - Pakistani,4,True,7,0,False,53,Female,White - British,Kinship,2024-05-17,2024-06-20,34,Behaviour concerns,0.78,True,False,5
3,Trans Male,White - British,0,False,5,0,False,39,Male,White - Other,In-House Fostering,2022-05-04,2022-07-25,82,Behaviour concerns,4.59,True,True,1
11,Female,White - British,1,True,0,1,False,50,Female,White - Other,External Fostering,2023-02-19,2024-01-26,341,Behaviour concerns,7.05,False,True,2
6,Male,White - British,2,True,2,4,True,46,Female,White - Central European,External Fostering,2024-02-21,2024-04-30,69,Child requests end,3.37,True,False,3
15,Male,White - British,5,True,4,2,True,41,Female,White - British,Kinship,2022-04-25,2023-01-05,255,Carer requests end,1.87,True,False,6
5,Female,White - British,2,True,7,5,True,51,Non binary,White - British,In-House Fostering,2022-05-28,2022-08-19,83,Carer requests end,1.52,False,True,3
7,Female,Traveller - Other,4,True,1,2,True,48,Non binary,White - British,External Fostering,2024-03-07,2032-06-11,3018,Placement stability concerns,15.94,True,True,5
10,Female,White - British,2,True,0,2,True,60,Female,White - British,In-House Fostering,2024-03-04,2026-02-25,723,Child requests end,2.53,True,True,3
10,Female,Asian/British Asian - Pakistani,2,True,3,2,True,47,Female,White - British,In-House Fostering,2022-11-07,2025-03-02,846,Planned move,8.74,True,True,3
7,Trans Male,White - British,1,True,6,0,False,36,Male,White - British,In-House Fostering,2025-05-16,2025-12-13,211,Behaviour concerns,3.48,True,True,2
16,Female,Asian/British Asian - Pakistani,3,True,6,4,True,51,Male,Asian/British Asian - Pakistani,In-House Fostering,2022-11-30,2023-02-15,77,Planned move,0.86,True,True,4
11,Female,White - British,1,True,1,0,False,37,Non binary,White - Eastern European,In-House Fostering,2022-12-29,2023-02-27,60,Planned move,9.84,True,True,2
9,Female,White - British,0,False,4,4,True,50,Non binary,White - British,Residential,2025-08-29,2026-02-10,165,Planned move,56.21,False,True,1
10,Trans Male,White - Central European,0,False,4,0,False,48,Trans Female,Gypsy / Roma,In-House Fostering,2025-09-25,2026-01-12,109,Placement stability concerns,9.46,False,False,1
8,Male,White - British,0,False,1,4,True,57,Male,White - British,In-House Fostering,2022-05-23,2024-06-11,750,Carer requests end,5.05,False,False,1
8,Female,White - British,0,False,0,5,True,43,Male,White - British,External Fostering,2025-04-14,2025-08-04,112,Carer requests end,4.97,False,True,1
11,Trans Male,Asian/British Asian - Pakistani,3,True,2,3,True,60,Non binary,White - British,In-House Fostering,2023-07-20,2023-08-11,22,Planned move,12.18,False,True,4
7,Male,Asian/British Asian - Pakistani,0,False,3,3,True,47,Male,Asian/British Asian - Pakistani,External Fostering,2023-04-17,2023-07-04,78,Behaviour concerns,12.56,True,True,1
3,Female,Black/Black British - African,4,True,6,3,True,38,Male,White - British,External Fostering,2024-06-22,2025-02-23,246,Allegation,10.17,False,False,5
7,Female,Asian/British Asian - Pakistani,0,False,5,4,True,44,Female,Asian/British Asian - Pakistani,In-House Fostering,2024-01-24,2024-07-14,172,Planned move,10.02,False,False,1
11,Female,Mixed - White/Asian,3,True,6,3,True,46,Non binary,White - British,External Fostering,2024-07-29,2025-08-09,376,Placement stability concerns,12.99,True,False,4
10,Male,White - Eastern European,3,True,4,0,False,60,Male,Asian/British Asian - Pakistani,External Fostering,2023-08-15,2025-08-16,732,Behaviour concerns,17.15,False,False,4
13,Female,White - British,4,True,3,5,True,60,Male,Asian/British Asian - Bangladeshi,In-House Fostering,2022-10-18,2023-05-20,214,Allegation,9.53,False,True,5
9,Trans Female,Mixed - White/Asian,3,True,0,2,True,44,Trans Female,Asian/British Asian - Pakistani,In-House Fostering,2022-05-22,2022-07-02,41,Child requests end,3.54,True,False,4
2,Male,Asian/British Asian - Pakistani,0,False,1,3,True,59,Female,White - Central European,In-House Fostering,2024-06-13,2025-05-17,338,Child requests end,4.15,True,True,1
12,Trans Male,White - British,0,False,1,4,True,56,Female,Asian/British Asian - Pakistani,In-House Fostering,2023-05-30,2024-03-13,288,Placement stability concerns,3.93,False,True,1
11,Trans Male,White - Other,4,True,5,3,True,60,Non binary,White - British,In-House Fostering,2023-02-26,2023-04-21,54,Carer requests end,1.05,True,False,5
7,Male,White - British,0,False,7,4,True,44,Male,White - British,In-House Fostering,2023-12-29,2024-03-15,77,Planned move,8.68,False,True,1
6,Female,White - British,0,False,5,2,True,45,Male,Asian/British Asian - Pakistani,External Fostering,2024-03-02,2024-05-19,78,Planned move,12.37,True,False,1
10,Female,Gypsy / Roma,0,False,5,4,True,42,Female,White - British,Kinship,2025-05-04,2025-09-17,136,Child requests end,3.07,True,True,1
7,Trans Male,White - British,0,False,0,2,True,48,Female,White - Eastern European,In-House Fostering,2025-08-13,2025-11-12,91,Child requests end,15.79,False,False,1
2,Trans Female,Mixed - White/Black Caribbean,0,False,4,4,True,41,Female,Black/Black British - African,Residential,2022-07-06,2022-09-19,75,Child requests end,92.79,False,False,1
9,Trans Male,White - British,0,False,4,1,False,54,Non binary,White - Central European,External Fostering,2024-03-14,2026-05-06,783,Carer requests end,3.49,True,True,1
5,Female,White - British,0,False,2,2,True,40,Female,White - British,Kinship,2024-01-16,2024-03-20,64,Behaviour concerns,1.32,False,True,1
11,Male,Mixed - White/Asian,0,False,3,1,False,42,Female,White - British,External Fostering,2022-02-02,2022-05-27,114,Placement stability concerns,11.52,True,False,1
9,Non binary,White - British,0,False,7,2,True,49,Trans Male,White - British,Kinship,2023-03-28,2024-04-08,377,Planned move,2.86,True,False,1
8,Male,Asian/British Asian - Pakistani,2,True,1,2,True,36,Male,Black/Black British - African,External Fostering,2022-12-15,2025-04-08,845,Allegation,2.51,True,True,3
6,Male,Asian/British Asian - Pakistani,4,True,7,4,True,39,Female,White - British,In-House Fostering,2022-09-19,2023-01-25,128,Planned move,2.73,False,False,5
10,Female,White - British,0,False,7,5,True,58,Female,Asian/British Asian - Pakistani,In-House Fostering,2022-03-23,2025-04-08,1112,Planned move,16.77,True,False,1
5,Male,White - British,0,False,7,2,True,40,Female,White - Eastern European,In-House Fostering,2024-05-23,2025-05-03,345,Placement stability concerns,17.58,True,True,1
11,Male,Asian/British Asian - Pakistani,0,False,2,3,True,50,Male,White - British,In-House Fostering,2023-05-29,2023-08-24,87,Child requests end,0.19,True,True,1
8,Male,Asian/British Asian - Pakistani,3,True,2,0,False,48,Male,White - British,External Fostering,2022-10-30,2023-06-05,218,Planned move,9.3,False,True,4
4,Female,Asian/British Asian - Pakistani,0,False,4,5,True,49,Female,Asian/British Asian - Pakistani,Kinship,2022-03-05,2029-04-07,2590,Placement stability concerns,4.86,True,True,1
10,Trans Female,Asian/British Asian - Pakistani,0,False,5,1,False,49,Female,White - British,In-House Fostering,2024-01-29,2025-06-22,510,Allegation,17.47,False,True,1
6,Male,White - British,4,True,0,3,True,46,Male,White - British,In-House Fostering,2022-12-10,2024-02-15,432,Allegation,18.43,False,True,5
9,Non binary,White - British,0,False,0,4,True,54,Female,Gypsy / Roma,In-House Fostering,2024-04-07,2024-05-07,30,Allegation,9.5,False,True,1
11,Male,White - British,0,False,4,2,True,35,Non binary,White - British,External Fostering,2024-03-02,2026-12-18,1021,Behaviour concerns,5.81,True,True,1
7,Female,White - British,0,False,1,5,True,49,Trans Male,Asian/British Asian - Pakistani,External Fostering,2025-07-11,2026-07-18,372,Planned move,10.15,True,False,1
7,Female,Asian/British Asian - Pakistani,2,True,5,1,False,55,Female,White - British,Kinship,2022-06-02,2022-07-23,51,Planned move,0.73,True,True,3
10,Male,Asian/British Asian - Pakistani,5,True,0,2,True,51,Female,White - British,External Fostering,2023-04-04,2025-11-05,946,Allegation,4.29,False,False,6
7,Female,White - British,0,False,4,4,True,39,Female,Asian/British Asian - Pakistani,In-House Fostering,2024-11-26,2026-04-18,508,Placement stability concerns,2.14,True,True,1
9,Non binary,Mixed - Other,0,False,1,1,False,40,Male,White - British,In-House Fostering,2022-09-18,2022-11-20,63,Allegation,9.9,True,True,1
7,Trans Male,White - British,0,False,0,1,False,53,Trans Female,Black/Black British - African,In-House Fostering,2025-02-02,2026-09-28,603,Allegation,15.16,True,False,1
5,Trans Female,Asian/British Asian - Pakistani,4,True,3,1,False,56,Male,Asian/British Asian - Pakistani,Residential,2023-03-29,2023-04-22,24,Behaviour concerns,89.64,True,True,5
7,Non binary,White - British,0,False,2,5,True,58,Trans Male,White - British,In-House Fostering,2025-01-17,2025-02-12,26,Carer requests end,15.35,False,True,1
