Child Age At Placement,Child Gender,Child Ethnicity,Child Prior Placements Number,Returning Child,Age Child Left Care,Carer Age,Placement Type,Missing Episodes,Placement Sequence Number,Placement Start Date,Placement End Reason,Placement End Time Period,Number Of Carers,Carer Gender Composition,Placed With Siblings,Emergency Placement,Distance From Home,Placement Planning Meeting,Reason For Leaving Care,Sibling Group Size,Previous Care History,Age Child Came Into Care,Residential Home Type,Carer Ethnicity Or Religion,Carer Type,EH involvement,Siblings In EH,YOT involvement,
15,Female,Asian/British Asian – Pakistani,0,True,18,[56],Fostering - Short Term,2,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],False,True,276.05,False,Why the child left care entirely,0,Any additional context and comments about the child’s care history,12,including Mainstream,['Asian/British Asian – Pakistani'],Short Term Foster,False,False,False,
6,Female,White – British,0,True,8,[67],Special Guardianship,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['NULL'],True,True,432.78,False,Why the child left care entirely,4,Any additional context and comments about the child’s care history,10,including Mainstream,['White – British'],Special Guardianship,True,True,False,
1,Trans Male,White - Central European,0,False,7,[41],Fostering - Short Term,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['NULL'],False,True,715.82,True,N/A,1,N/A,3,including Mainstream,['Black/Black British – African'],Short Term Foster,False,False,False,
9,Female,Black/Black British – African,0,False,18,[34],Kinship,5,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unborn'],False,False,264.76,True,N/A,1,N/A,10,including Mainstream,['Asian/British Asian – Bangladeshi'],Kinship,False,False,False,
16,Male,White – British,0,False,18,[42],Fostering - Respite,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,False,519.08,True,N/A,3,N/A,7,including Mainstream,['White – British'],Respite Foster,False,True,False,
13,Trans Male,White – British,0,True,14,[35],Adoption,2,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],True,True,386.4,True,Why the child left care entirely,3,Any additional context and comments about the child’s care history,0,including Mainstream,['Asian/British Asian – Bangladeshi'],Adoption,False,False,False,
6,Female,Asian/British Asian – Indian,0,True,18,[44],Fostering - Emergency,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,True,20.9,True,Why the child left care entirely,7,Any additional context and comments about the child’s care history,9,including Mainstream,['Dual Heritage - Black/White'],Emergency Foster,False,False,False,
13,Trans Female,White – British,0,False,15,[63],Fostering - Emergency,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,True,381.57,True,N/A,4,N/A,10,including Mainstream,['Mixed – Other'],Emergency Foster,True,True,True,
5,Female,Asian/British Asian – Pakistani,0,False,17,[44],Fostering - Respite,0,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,True,180.88,False,N/A,0,N/A,10,including Mainstream,['Roma'],Respite Foster,False,False,False,
10,Female,White – British,0,True,11,[64],Kinship,2,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unborn'],True,True,95.86,False,Why the child left care entirely,4,Any additional context and comments about the child’s care history,8,including Mainstream,['Gypsy'],Kinship,True,False,False,
7,Non binary,Asian/British Asian – Pakistani,0,True,10,[39],Residential,2,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],True,True,312.71,False,Why the child left care entirely,2,Any additional context and comments about the child’s care history,13,including Mainstream,['Dual Heritage - Black/White'],Residential,True,False,False,
10,Female,White – British,0,False,13,[61],Fostering - Respite,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,True,896.11,False,N/A,5,N/A,17,including Mainstream,['Asian/British Asian – Bangladeshi'],Respite Foster,True,False,False,
13,Female,White - Eastern European,0,True,16,[32],Residential,1,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,True,163.95,True,Why the child left care entirely,7,Any additional context and comments about the child’s care history,6,including Mainstream,['Roma'],Residential,False,True,False,
4,Male,Asian/British Asian – Indian,0,True,5,[65],Special Guardianship,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unknown'],True,True,663.48,True,Why the child left care entirely,2,Any additional context and comments about the child’s care history,17,including Mainstream,['White - Central European'],Special Guardianship,False,False,False,
14,Female,White – British,0,True,18,[26],Adoption,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Female'],True,False,362.8,False,Why the child left care entirely,8,Any additional context and comments about the child’s care history,13,including Mainstream,['Asian/British Asian – Chinese'],Adoption,False,False,False,
9,Female,Asian/British Asian – Pakistani,0,True,12,[26],Fostering - Long Term,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],True,True,196.99,True,Why the child left care entirely,3,Any additional context and comments about the child’s care history,13,including Mainstream,['Other Ethnic Group'],Long Term Foster,True,False,False,
17,Female,Asian/British Asian – Pakistani,0,False,18,[70],Fostering - Short Term,4,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Male'],True,True,64.25,False,N/A,2,N/A,16,including Mainstream,['Dual Heritage - Black/White'],Short Term Foster,False,False,False,
8,Male,Asian/British Asian – Pakistani,0,False,13,[57],Fostering - Long Term,5,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['NULL'],True,False,882.73,False,N/A,4,N/A,15,including Mainstream,['Black/Black British – Caribbean'],Long Term Foster,False,True,False,
1,Trans Male,Asian/British Asian – Indian,0,False,9,[36],Residential,4,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Non binary'],True,True,542.44,True,N/A,1,N/A,12,including Mainstream,['Other Ethnic Group'],Residential,False,False,False,
0,Trans Female,Asian/British Asian – Indian,0,False,16,[55],Fostering - Emergency,4,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,False,886.09,True,N/A,7,N/A,3,including Mainstream,['Mixed - White/Asian'],Emergency Foster,False,False,False,
12,Trans Female,White – British,0,True,16,[73],Fostering - Short Term,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],True,False,596.97,False,Why the child left care entirely,5,Any additional context and comments about the child’s care history,8,including Mainstream,['White - Eastern European'],Short Term Foster,False,False,True,
11,Male,White – British,0,True,17,[67],Adoption,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],True,False,271.48,True,Why the child left care entirely,3,Any additional context and comments about the child’s care history,9,including Mainstream,['Gypsy'],Adoption,True,False,False,
14,Female,White – British,0,False,15,[42],Fostering - Short Term,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unborn'],True,False,753.77,True,N/A,5,N/A,7,including Mainstream,['White - Eastern European'],Short Term Foster,False,False,False,
9,Trans Female,White – British,0,False,14,[26],Fostering - Respite,0,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Female'],True,True,62.64,True,N/A,1,N/A,10,including Mainstream,['Refused'],Respite Foster,False,False,False,
11,Male,White – British,0,False,18,[47],Special Guardianship,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,False,976.14,True,N/A,5,N/A,13,including Mainstream,['White – Other'],Special Guardianship,True,True,True,
17,Male,Asian/British Asian – Pakistani,0,True,18,[33],Fostering - Short Term,2,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unborn'],True,True,98.52,True,Why the child left care entirely,4,Any additional context and comments about the child’s care history,11,including Mainstream,['Asian/British Asian – Pakistani'],Short Term Foster,False,False,False,
2,Female,Asian/British Asian – Pakistani,0,False,5,[27],Fostering - Short Term,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['NULL'],True,False,322.07,True,N/A,5,N/A,16,including Mainstream,['Mixed - White/Asian'],Short Term Foster,False,True,False,
12,Female,White – British,0,True,14,[68],Fostering - Emergency,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['NULL'],False,True,1.34,True,Why the child left care entirely,0,Any additional context and comments about the child’s care history,17,including Mainstream,['Other Ethnic Group'],Emergency Foster,True,False,True,
12,Trans Female,White – British,0,True,13,[71],Special Guardianship,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Male'],True,True,853.47,True,Why the child left care entirely,8,Any additional context and comments about the child’s care history,8,including Mainstream,['Black/Black British – Caribbean'],Special Guardianship,False,False,False,
10,Female,White – British,0,True,15,[56],Special Guardianship,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unknown'],True,False,87.52,False,Why the child left care entirely,8,Any additional context and comments about the child’s care history,15,including Mainstream,['White - Central European'],Special Guardianship,False,False,False,
14,Trans Female,White – British,0,True,15,[40],Fostering - Emergency,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unspecified'],False,True,969.13,True,Why the child left care entirely,1,Any additional context and comments about the child’s care history,1,including Mainstream,['NULL'],Emergency Foster,True,False,False,
9,Female,Asian/British Asian – Other,0,True,18,[66],Fostering - Long Term,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Male'],True,False,276.73,True,Why the child left care entirely,5,Any additional context and comments about the child’s care history,9,including Mainstream,['White – Irish'],Long Term Foster,True,True,False,
12,Male,Asian/British Asian – Pakistani,0,True,13,[27],Fostering - Respite,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],True,True,999.76,False,Why the child left care entirely,0,Any additional context and comments about the child’s care history,1,including Mainstream,['Dual Heritage - Black/White'],Respite Foster,False,False,False,
17,Female,Asian/British Asian – Bangladeshi,0,False,18,[33],Fostering - Respite,2,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unspecified'],True,False,73.51,True,N/A,7,N/A,12,including Mainstream,['Traveller – Other'],Respite Foster,False,False,False,
1,Female,White – British,0,True,12,[51],Residential,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Female'],True,False,127.33,False,Why the child left care entirely,3,Any additional context and comments about the child’s care history,12,including Mainstream,['Other Ethnic Group'],Residential,False,False,False,
8,Male,White – British,0,False,12,[49],Special Guardianship,0,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Non binary'],True,False,647.32,True,N/A,5,N/A,1,including Mainstream,['Roma'],Special Guardianship,False,False,False,
2,Male,White – British,0,True,10,[40],Kinship,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,False,37.67,False,Why the child left care entirely,4,Any additional context and comments about the child’s care history,9,including Mainstream,['Gypsy / Roma'],Kinship,False,False,False,
1,Male,White – British,0,True,8,[50],Kinship,2,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Male'],True,False,848.17,True,Why the child left care entirely,2,Any additional context and comments about the child’s care history,1,including Mainstream,['Other Ethnic Group'],Kinship,False,False,False,
17,Trans Female,White – British,0,True,18,[60],Residential,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],True,False,10.82,True,Why the child left care entirely,8,Any additional context and comments about the child’s care history,5,including Mainstream,['Mixed - White/Black Caribbean'],Residential,False,True,False,
15,Male,White – British,0,True,16,[27],Adoption,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],True,False,68.35,True,Why the child left care entirely,2,Any additional context and comments about the child’s care history,14,including Mainstream,['Asian/British Asian – Indian'],Adoption,False,False,False,
1,Female,Gypsy / Roma,0,True,10,[46],Kinship,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unborn'],True,False,531.97,False,Why the child left care entirely,4,Any additional context and comments about the child’s care history,8,including Mainstream,['Asian/British Asian – Chinese'],Kinship,False,False,True,
10,Trans Male,White – British,0,True,11,[75],Fostering - Long Term,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Male'],True,True,695.21,True,Why the child left care entirely,7,Any additional context and comments about the child’s care history,11,including Mainstream,['Mixed – Other'],Long Term Foster,True,False,False,
1,Trans Female,White – British,0,False,18,[29],Fostering - Emergency,0,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unknown'],False,True,550.17,True,N/A,0,N/A,11,including Mainstream,['White – British'],Emergency Foster,False,False,False,
14,Female,Asian/British Asian – Bangladeshi,0,True,16,[48],Fostering - Emergency,1,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Female'],True,False,161.88,True,Why the child left care entirely,7,Any additional context and comments about the child’s care history,17,including Mainstream,['Mixed - White/Black African'],Emergency Foster,True,False,False,
9,Female,White – British,0,False,12,[33],Fostering - Short Term,2,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,False,309.94,True,N/A,2,N/A,9,including Mainstream,['Information Not Yet Obtained'],Short Term Foster,False,False,False,
8,Trans Female,White - Central European,0,True,16,[75],Adoption,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],True,False,144.16,True,Why the child left care entirely,7,Any additional context and comments about the child’s care history,7,including Mainstream,['White - Central European'],Adoption,False,False,True,
14,Male,Asian/British Asian – Pakistani,0,True,17,[48],Fostering - Long Term,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,True,826.41,True,Why the child left care entirely,0,Any additional context and comments about the child’s care history,2,including Mainstream,['Gypsy / Roma'],Long Term Foster,True,False,False,
3,Male,Asian/British Asian – Bangladeshi,0,False,13,[38],Fostering - Long Term,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],False,False,894.36,False,N/A,0,N/A,2,including Mainstream,['Asian/British Asian – Indian'],Long Term Foster,False,False,True,
10,Trans Male,White – British,0,False,11,[57],Special Guardianship,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unborn'],True,True,759.51,False,N/A,2,N/A,1,including Mainstream,['Roma'],Special Guardianship,False,False,False,
5,Male,Asian/British Asian – Pakistani,0,True,15,[62],Special Guardianship,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Male'],True,False,794.25,False,Why the child left care entirely,0,Any additional context and comments about the child’s care history,14,including Mainstream,['Asian/British Asian – Chinese'],Special Guardianship,True,False,False,
7,Female,Asian/British Asian – Pakistani,0,False,15,[29],Residential,4,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unspecified'],True,True,170.62,False,N/A,7,N/A,17,including Mainstream,['White – Irish'],Residential,False,False,False,
16,Female,White – British,0,False,17,[25],Fostering - Respite,5,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unspecified'],True,True,551.56,True,N/A,3,N/A,10,including Mainstream,['Mixed - White/Black African'],Respite Foster,True,False,False,
2,Trans Male,Asian/British Asian – Pakistani,0,True,10,[38],Fostering - Respite,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],False,False,616.23,True,Why the child left care entirely,1,Any additional context and comments about the child’s care history,12,including Mainstream,['Asian/British Asian – Bangladeshi'],Respite Foster,True,False,False,
15,Male,White – British,0,False,18,[30],Adoption,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Male'],True,True,47.07,True,N/A,5,N/A,10,including Mainstream,['White - Central European'],Adoption,False,False,False,
14,Non binary,White – British,0,True,18,[43],Residential,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unknown'],True,False,981.62,False,Why the child left care entirely,8,Any additional context and comments about the child’s care history,0,including Mainstream,['Mixed - White/Black Caribbean'],Residential,False,False,False,
13,Male,White - Eastern European,0,True,15,[69],Special Guardianship,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Male'],True,True,774.92,True,Why the child left care entirely,5,Any additional context and comments about the child’s care history,11,including Mainstream,['White – Irish'],Special Guardianship,False,True,True,
9,Female,White – British,0,True,15,[67],Kinship,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],True,False,260.42,False,Why the child left care entirely,0,Any additional context and comments about the child’s care history,3,including Mainstream,['Information Not Yet Obtained'],Kinship,True,False,False,
9,Male,Traveller of Irish Heritage,0,True,11,[42],Adoption,1,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,True,458.37,True,Why the child left care entirely,1,Any additional context and comments about the child’s care history,11,including Mainstream,['White – British'],Adoption,False,False,False,
12,Female,White – Other,0,True,15,[36],Fostering - Emergency,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unborn'],False,True,209.23,False,Why the child left care entirely,1,Any additional context and comments about the child’s care history,6,including Mainstream,['Information Not Yet Obtained'],Emergency Foster,False,False,False,
11,Female,Other Ethnic Group,0,False,13,[32],Fostering - Short Term,0,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unspecified'],True,True,605.9,True,N/A,3,N/A,0,including Mainstream,['Asian/British Asian – Bangladeshi'],Short Term Foster,False,False,False,
16,Trans Male,White – British,0,False,18,[62],Fostering - Emergency,4,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Trans Male'],True,False,907.95,False,N/A,5,N/A,13,including Mainstream,['Traveller – Other'],Emergency Foster,True,True,False,
15,Female,Asian/British Asian – Bangladeshi,0,False,17,[58],Kinship,2,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unborn'],True,True,706.2,False,N/A,2,N/A,0,including Mainstream,['Dual Heritage - Black/White'],Kinship,False,False,False,
1,Male,White – British,0,False,15,[49],Residential,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unknown'],True,True,485.24,True,N/A,3,N/A,8,including Mainstream,['Traveller – Other'],Residential,True,True,False,
6,Male,White – British,0,True,12,[37],Fostering - Short Term,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Male'],True,False,164.93,True,Why the child left care entirely,5,Any additional context and comments about the child’s care history,10,including Mainstream,['Mixed – Other'],Short Term Foster,True,False,True,
3,Trans Female,Asian/British Asian – Pakistani,0,True,6,[63],Adoption,1,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Male'],True,False,989.39,True,Why the child left care entirely,3,Any additional context and comments about the child’s care history,16,including Mainstream,['Unknown'],Adoption,False,False,True,
