Child Age At Placement,Child Gender,Child Ethnicity,Child Prior Placements Number,Returning Child,Age Child Left Care,Carer Age,Placement Type,Missing Episodes,Placement Sequence Number,Placement Start Date,Placement End Reason,Placement Time Period (days),Number Of Carers,Carer Gender Composition,Placed With Siblings,Emergency Placement,Distance From Home (miles),Placement Planning Meeting,Reason For Leaving Care,Sibling Group Size,Previous Care History,Age Child Came Into Care,Residential Home Type,Carer Ethnicity Or Religion,Carer Type,EH involvement,Siblings In EH,YOT involvement
0,Male,White - British,0,TRUE,3,69,Fostering - Short Term,6,1,11/03/2023 00:00,Approval removed,689,1,Non binary,TRUE,TRUE,2.62,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,White - Other,Kinship,TRUE,FALSE,FALSE
3,Male,Asian/British Asian - Pakistani,0,TRUE,10,71,Fostering - Short Term,5,1,11/11/2023 00:00,Approval removed,49,1,Male,FALSE,FALSE,4.67,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,White - Irish,Kinship,FALSE,FALSE,TRUE
1,Female,White - British,0,TRUE,11,37,Fostering - Short Term,6,1,10/01/2023 00:00,Allegation (S47),338,1,Trans Male,TRUE,FALSE,13.71,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy,Special Guardianship,TRUE,FALSE,FALSE
9,Female,Asian/British Asian - Pakistani,0,FALSE,17,59,Kinship,1,1,02/05/2025 00:00,N/A,226,1,Male,TRUE,FALSE,3.57,FALSE,N/A,7,N/A,0,including Mainstream,Mixed - White/Black Caribbean,Kinship,FALSE,FALSE,FALSE
13,Male,Asian/British Asian - Pakistani,0,TRUE,15,42,Fostering - Short Term,6,1,06/08/2024 00:00,Approval removed,583,1,Non binary,TRUE,TRUE,12.19,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,White - British,Short Term Foster,TRUE,FALSE,FALSE
13,Trans Female,White - British,0,FALSE,14,61,Kinship,7,1,14/07/2023 00:00,N/A,31,1,Trans Female,TRUE,TRUE,3.99,FALSE,N/A,2,N/A,0,including Mainstream,Asian/British Asian - Indian,Kinship,TRUE,FALSE,TRUE
9,Male,Asian/British Asian - Pakistani,0,TRUE,17,65,Fostering - Short Term,1,1,02/09/2023 00:00,Planned move to long-term fostering,791,1,Female,TRUE,TRUE,8.2,TRUE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Short Term Foster,FALSE,TRUE,TRUE
14,Female,Asian/British Asian - Pakistani,0,TRUE,15,45,Kinship,4,1,07/12/2024 00:00,Carer requests placement end due to child's behaviour,56,1,Female,FALSE,TRUE,1.65,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Dual Heritage - Black/White,Kinship,TRUE,FALSE,TRUE
7,Female,White - British,0,TRUE,9,72,Fostering - Short Term,5,1,15/02/2024 00:00,Approval removed,634,1,Female,TRUE,FALSE,3.85,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black African,Kinship,TRUE,TRUE,FALSE
9,Male,White - British,0,FALSE,11,46,Adoption,0,1,23/10/2022 00:00,N/A,129,1,Male,TRUE,TRUE,16.59,TRUE,N/A,6,N/A,0,including Mainstream,Black/Black British - African,Adoption,FALSE,TRUE,FALSE
2,Female,White - Eastern European,0,FALSE,14,30,Kinship,5,1,02/04/2024 00:00,N/A,248,1,Trans Female,TRUE,FALSE,2.67,FALSE,N/A,5,N/A,0,including Mainstream,Black/Black British - Other,Kinship,TRUE,TRUE,TRUE
2,Female,Asian/British Asian - Pakistani,0,FALSE,9,47,Kinship,3,1,01/12/2022 00:00,N/A,968,1,Male,TRUE,TRUE,0.1,FALSE,N/A,5,N/A,0,including Mainstream,White - Irish,Kinship,TRUE,FALSE,TRUE
7,Female,White - British,0,TRUE,12,74,Kinship,5,1,26/02/2024 00:00,Carer requests placement end due to child's behaviour,204,1,Male,TRUE,TRUE,2.75,FALSE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Kinship,FALSE,FALSE,TRUE
17,Male,Asian/British Asian - Pakistani,0,FALSE,18,66,Residential,1,1,13/04/2023 00:00,N/A,6,1,Female,TRUE,FALSE,25.57,TRUE,N/A,4,N/A,0,including Mainstream,White - Irish,Residential,FALSE,FALSE,TRUE
6,Female,Mixed - White/Black African,0,TRUE,12,72,Fostering - Short Term,3,1,07/05/2025 00:00,Approval removed,389,1,Male,FALSE,FALSE,2.46,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - African,Kinship,TRUE,FALSE,TRUE
10,Trans Male,White - British,0,FALSE,16,31,Kinship,6,1,03/07/2023 00:00,N/A,191,1,Male,TRUE,FALSE,0.15,TRUE,N/A,2,N/A,0,including Mainstream,Mixed - Other,Kinship,TRUE,TRUE,FALSE
16,Trans Male,White - British,0,TRUE,17,50,Fostering - Short Term,1,1,21/10/2025 00:00,Approval removed,161,1,Male,FALSE,TRUE,1.52,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black Caribbean,Kinship,FALSE,FALSE,TRUE
11,Female,White - Central European,0,TRUE,14,67,Kinship,1,1,14/02/2022 00:00,Allegation (S47),872,1,Female,TRUE,TRUE,1.15,TRUE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - Caribbean,Kinship,TRUE,TRUE,FALSE
11,Male,White - Central European,0,TRUE,15,65,Fostering - Short Term,6,1,15/07/2024 00:00,Carer requests placement end due to child's behaviour,84,1,Trans Female,TRUE,TRUE,13.2,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,White - Irish,Special Guardianship,TRUE,FALSE,FALSE
15,Trans Male,White - Other,0,TRUE,17,34,Fostering - Short Term,1,1,05/01/2022 00:00,Carer requests placement end due to child's behaviour,143,1,Male,TRUE,TRUE,4.92,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Short Term Foster,TRUE,FALSE,FALSE
1,Male,Asian/British Asian - Pakistani,0,FALSE,4,44,Fostering - Short Term,6,1,07/12/2023 00:00,N/A,387,1,Male,FALSE,TRUE,6.27,FALSE,N/A,0,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Short Term Foster,TRUE,FALSE,TRUE
7,Male,Asian/British Asian - Pakistani,0,TRUE,8,30,Fostering - Short Term,7,1,17/02/2024 00:00,Planned move to long-term fostering,580,1,Female,TRUE,TRUE,18.39,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Indian,Short Term Foster,FALSE,TRUE,FALSE
17,Non binary,White - British,0,TRUE,18,67,Kinship,0,1,14/04/2022 00:00,Planned move to long-term fostering,866,1,Male,TRUE,FALSE,4.46,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Kinship,TRUE,TRUE,TRUE
0,Male,White - British,0,FALSE,12,41,Adoption,1,1,09/08/2022 00:00,N/A,641,1,Trans Male,TRUE,TRUE,3.89,TRUE,N/A,7,N/A,0,including Mainstream,Black/Black British - African,Adoption,FALSE,FALSE,TRUE
13,Female,White - British,0,FALSE,17,30,Kinship,0,1,07/02/2022 00:00,N/A,872,1,Non binary,TRUE,TRUE,1.32,FALSE,N/A,6,N/A,0,including Mainstream,Gypsy,Kinship,TRUE,FALSE,FALSE
11,Female,Mixed - White/Asian,0,TRUE,17,72,Kinship,7,1,22/11/2022 00:00,Allegation (S47),563,1,Female,TRUE,FALSE,3.63,TRUE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Roma,Kinship,TRUE,FALSE,TRUE
7,Female,Asian/British Asian - Pakistani,0,TRUE,13,65,Kinship,5,1,13/11/2024 00:00,Allegation (S47),33,1,Female,TRUE,TRUE,4.75,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Other,Kinship,TRUE,FALSE,FALSE
15,Female,White - British,0,TRUE,17,71,Fostering - Short Term,0,1,17/05/2024 00:00,Approval removed,779,1,Female,TRUE,FALSE,4.41,TRUE,Why the child left care entirely,2,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,FALSE,TRUE,FALSE
11,Male,Asian/British Asian - Indian,0,FALSE,18,28,Kinship,4,1,01/09/2025 00:00,N/A,360,1,Female,FALSE,TRUE,2.82,FALSE,N/A,1,N/A,0,including Mainstream,Asian/British Asian - Indian,Kinship,TRUE,FALSE,FALSE
4,Trans Female,Black/Black British - Caribbean,0,TRUE,14,33,Kinship,6,1,21/10/2023 00:00,Allegation (S47),177,1,Female,TRUE,FALSE,2.28,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Kinship,TRUE,FALSE,FALSE
14,Female,White - British,0,TRUE,16,75,Fostering - Short Term,4,1,01/10/2023 00:00,Allegation (S47),483,1,Female,TRUE,FALSE,3.22,TRUE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Indian,Short Term Foster,TRUE,FALSE,FALSE
6,Female,White - British,0,FALSE,8,63,Fostering - Short Term,0,1,05/01/2024 00:00,N/A,3,1,Male,TRUE,TRUE,0.46,FALSE,N/A,3,N/A,0,including Mainstream,Asian/British Asian - Indian,Short Term Foster,FALSE,FALSE,FALSE
12,Trans Female,White - British,0,TRUE,16,55,Fostering - Short Term,6,1,11/03/2024 00:00,Carer requests placement end due to child's behaviour,199,1,Male,TRUE,TRUE,8.8,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black African,Adoption,TRUE,FALSE,TRUE
16,Female,Asian/British Asian - Bangladeshi,0,TRUE,17,53,Fostering - Short Term,3,1,31/05/2025 00:00,Allegation (S47),4,1,Trans Female,TRUE,FALSE,43.33,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Chinese,Residential,FALSE,FALSE,TRUE
4,Male,Asian/British Asian - Indian,0,TRUE,10,69,Fostering - Short Term,2,1,26/05/2025 00:00,Approval removed,4,1,Male,FALSE,TRUE,11.43,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Indian,Adoption,TRUE,FALSE,FALSE
17,Female,White - British,0,TRUE,18,54,Kinship,2,1,13/04/2022 00:00,Carer requests placement end due to child's behaviour,239,1,Male,TRUE,FALSE,3.08,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Chinese,Special Guardianship,TRUE,FALSE,TRUE
16,Non binary,White - British,0,FALSE,18,30,Kinship,5,1,30/04/2024 00:00,N/A,772,1,Female,TRUE,FALSE,1.26,TRUE,N/A,7,N/A,0,including Mainstream,Asian/British Asian - Bangladeshi,Kinship,TRUE,FALSE,FALSE
0,Female,White - British,0,TRUE,11,66,Kinship,3,1,05/11/2024 00:00,Allegation (S47),528,1,Female,TRUE,FALSE,0.75,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Indian,Kinship,FALSE,FALSE,FALSE
5,Trans Female,White - British,0,TRUE,12,34,Kinship,0,1,15/08/2022 00:00,Child requests placement end,167,1,Female,TRUE,FALSE,2.18,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Other Ethnic Group,Kinship,FALSE,TRUE,TRUE
12,Non binary,White - British,0,FALSE,14,40,Special Guardianship,2,1,25/03/2023 00:00,N/A,742,1,Male,TRUE,FALSE,8.22,TRUE,N/A,2,N/A,0,including Mainstream,Asian/British Asian - Bangladeshi,Special Guardianship,FALSE,FALSE,FALSE
3,Trans Female,White - British,0,TRUE,7,36,Fostering - Short Term,6,1,31/08/2023 00:00,Approval removed,396,1,Trans Female,TRUE,TRUE,1.97,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,White - British,Kinship,FALSE,TRUE,FALSE
9,Non binary,Asian/British Asian - Pakistani,0,TRUE,16,56,Fostering - Short Term,3,1,22/07/2025 00:00,Approval removed,249,1,Female,TRUE,TRUE,4.89,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Indian,Kinship,TRUE,TRUE,TRUE
10,Male,White - British,0,TRUE,17,75,Residential,2,1,14/10/2023 00:00,Planned move to long-term fostering,6,1,Male,TRUE,FALSE,24.2,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black Caribbean,Residential,TRUE,TRUE,TRUE
7,Female,Asian/British Asian - Pakistani,0,FALSE,17,49,Kinship,3,1,10/06/2022 00:00,N/A,285,1,Trans Female,TRUE,FALSE,3.24,FALSE,N/A,7,N/A,0,including Mainstream,Black/Black British - African,Kinship,TRUE,FALSE,FALSE
2,Trans Female,White - Eastern European,0,TRUE,7,39,Fostering - Long Term,2,1,30/01/2023 00:00,Child requests placement end,41,1,Trans Male,TRUE,TRUE,16.97,TRUE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,Roma,Long Term Foster,FALSE,TRUE,TRUE
5,Male,White - British,0,FALSE,7,52,Adoption,6,1,08/03/2023 00:00,N/A,663,1,Trans Male,TRUE,TRUE,22.81,TRUE,N/A,2,N/A,0,including Mainstream,Traveller - Other,Adoption,FALSE,FALSE,FALSE
5,Female,White - British,0,TRUE,6,44,Fostering - Short Term,7,1,20/04/2023 00:00,Approval removed,125,1,Male,TRUE,TRUE,1.15,TRUE,Why the child left care entirely,2,Any additional context and comments about the child's care history,0,including Mainstream,White - Central European,Kinship,TRUE,FALSE,FALSE
1,Female,Asian/British Asian - Pakistani,0,TRUE,13,56,Kinship,2,1,30/03/2025 00:00,Allegation (S47),693,1,Male,TRUE,FALSE,4.08,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - Other,Kinship,TRUE,FALSE,TRUE
17,Female,Asian/British Asian - Pakistani,0,TRUE,18,59,Residential,7,1,15/03/2023 00:00,Planned move to long-term fostering,78,1,Trans Female,TRUE,FALSE,81.34,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy,Residential,TRUE,TRUE,TRUE
1,Female,White - British,0,TRUE,17,39,Kinship,3,1,18/03/2024 00:00,Carer requests placement end due to child's behaviour,632,1,Male,TRUE,TRUE,1.11,TRUE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy / Roma,Kinship,TRUE,TRUE,TRUE
15,Female,White - British,0,FALSE,18,43,Kinship,0,1,11/02/2022 00:00,N/A,941,1,Female,TRUE,FALSE,2.22,FALSE,N/A,6,N/A,0,including Mainstream,Black/Black British - African,Kinship,TRUE,TRUE,TRUE
2,Female,White - British,0,TRUE,9,72,Kinship,6,1,15/01/2024 00:00,Planned move to long-term fostering,262,1,Male,TRUE,TRUE,2.47,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,FALSE,FALSE,FALSE
6,Male,White - British,0,TRUE,8,31,Fostering - Short Term,7,1,16/10/2024 00:00,Allegation (S47),188,1,Male,TRUE,FALSE,3.15,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,White - British,Short Term Foster,TRUE,TRUE,FALSE
0,Female,Asian/British Asian - Pakistani,0,TRUE,3,46,Fostering - Short Term,2,1,29/06/2024 00:00,Approval removed,690,1,Male,FALSE,FALSE,3.84,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Roma,Kinship,FALSE,FALSE,FALSE
13,Female,Mixed - White/Asian,0,FALSE,17,48,Kinship,2,1,22/08/2024 00:00,N/A,538,1,Trans Male,TRUE,TRUE,3.66,FALSE,N/A,2,N/A,0,including Mainstream,Mixed - White/Asian,Kinship,TRUE,TRUE,TRUE
12,Female,Asian/British Asian - Pakistani,0,FALSE,16,48,Kinship,3,1,28/02/2025 00:00,N/A,700,1,Trans Female,TRUE,FALSE,3.64,FALSE,N/A,5,N/A,0,including Mainstream,White - Eastern European,Kinship,FALSE,TRUE,TRUE
12,Trans Female,White - British,0,FALSE,14,39,Kinship,3,1,24/04/2024 00:00,N/A,999,1,Female,TRUE,FALSE,4.55,FALSE,N/A,7,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,TRUE,FALSE,FALSE
6,Female,Asian/British Asian - Pakistani,0,TRUE,13,33,Fostering - Short Term,1,1,05/11/2023 00:00,Carer requests placement end due to child's behaviour,447,1,Non binary,TRUE,FALSE,11.71,TRUE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black Caribbean,Special Guardianship,TRUE,FALSE,TRUE
15,Male,White - British,0,TRUE,16,61,Kinship,5,1,18/06/2025 00:00,Planned move to long-term fostering,54,1,Female,TRUE,FALSE,1.04,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Other Ethnic Group,Kinship,FALSE,FALSE,TRUE
4,Female,Other Ethnic Group,0,TRUE,13,40,Fostering - Short Term,2,1,13/02/2025 00:00,Carer requests placement end due to child's behaviour,7,1,Male,TRUE,TRUE,1.61,TRUE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,TRUE,FALSE,TRUE
6,Female,Asian/British Asian - Indian,0,TRUE,13,34,Kinship,7,1,02/10/2025 00:00,Allegation (S47),118,1,Male,TRUE,TRUE,1.1,TRUE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,FALSE,FALSE,TRUE
12,Male,White - British,0,TRUE,16,67,Kinship,2,1,25/07/2024 00:00,Carer requests placement end due to child's behaviour,836,1,Male,TRUE,FALSE,3.48,TRUE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,Dual Heritage - Black/White,Kinship,FALSE,FALSE,FALSE
0,Male,Asian/British Asian - Pakistani,0,TRUE,9,40,Fostering - Short Term,5,1,04/11/2023 00:00,Approval removed,283,1,Male,TRUE,FALSE,1.92,TRUE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - Caribbean,Kinship,FALSE,TRUE,TRUE
10,Male,Asian/British Asian - Pakistani,0,FALSE,13,49,Special Guardianship,2,1,16/10/2024 00:00,N/A,716,1,Trans Female,TRUE,FALSE,11.48,TRUE,N/A,5,N/A,0,including Mainstream,Mixed - White/Black Caribbean,Special Guardianship,TRUE,FALSE,TRUE
5,Female,White - Other,0,TRUE,12,48,Kinship,4,1,12/12/2023 00:00,Carer requests placement end due to child's behaviour,145,1,Male,TRUE,FALSE,1.42,FALSE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,Other Ethnic Group,Kinship,TRUE,TRUE,TRUE
11,Trans Female,White - Central European,0,TRUE,15,61,Fostering - Short Term,6,1,07/06/2023 00:00,Allegation (S47),120,1,Non binary,TRUE,FALSE,7.27,TRUE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - Other,Short Term Foster,TRUE,TRUE,TRUE
1,Female,White - British,0,FALSE,6,55,Fostering - Short Term,0,1,08/11/2024 00:00,N/A,410,1,Male,TRUE,FALSE,19.75,FALSE,N/A,4,N/A,0,including Mainstream,Asian/British Asian - Other,Short Term Foster,TRUE,TRUE,TRUE
4,Female,Asian/British Asian - Pakistani,0,FALSE,15,65,Kinship,5,1,02/06/2025 00:00,N/A,39,1,Non binary,TRUE,TRUE,0.08,FALSE,N/A,0,N/A,0,including Mainstream,Dual Heritage - Black/White,Kinship,TRUE,FALSE,TRUE
14,Female,Asian/British Asian - Other,0,FALSE,15,38,Fostering - Short Term,5,1,15/03/2025 00:00,N/A,138,1,Female,TRUE,TRUE,12.77,TRUE,N/A,7,N/A,0,including Mainstream,Asian/British Asian - Bangladeshi,Short Term Foster,FALSE,FALSE,FALSE
12,Female,White - British,0,FALSE,15,27,Kinship,5,1,03/12/2023 00:00,N/A,357,1,Female,TRUE,TRUE,1.05,FALSE,N/A,0,N/A,0,including Mainstream,Mixed - White/Black Caribbean,Kinship,TRUE,FALSE,FALSE
17,Trans Female,White - British,0,FALSE,18,36,Special Guardianship,4,1,21/01/2024 00:00,N/A,117,1,Male,TRUE,FALSE,3.61,TRUE,N/A,2,N/A,0,including Mainstream,Black/Black British - Other,Special Guardianship,FALSE,TRUE,FALSE
12,Female,White - British,0,TRUE,15,75,Fostering - Short Term,0,1,30/01/2025 00:00,Allegation (S47),997,1,Female,TRUE,FALSE,5.68,FALSE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Indian,Short Term Foster,FALSE,FALSE,TRUE
16,Female,Asian/British Asian - Pakistani,0,TRUE,17,60,Kinship,2,1,28/04/2022 00:00,Allegation (S47),743,1,Male,TRUE,TRUE,3.33,TRUE,Why the child left care entirely,2,Any additional context and comments about the child's care history,0,including Mainstream,White - Central European,Kinship,TRUE,TRUE,TRUE
12,Female,Asian/British Asian - Pakistani,0,TRUE,18,67,Fostering - Short Term,1,1,26/05/2022 00:00,Planned move to long-term fostering,196,1,Male,TRUE,FALSE,16.11,TRUE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Short Term Foster,FALSE,TRUE,FALSE
14,Female,White - British,0,FALSE,17,49,Kinship,0,1,31/01/2022 00:00,N/A,683,1,Male,FALSE,FALSE,4.25,TRUE,N/A,0,N/A,0,including Mainstream,Black/Black British - Caribbean,Kinship,FALSE,FALSE,FALSE
9,Male,White - British,0,TRUE,16,55,Fostering - Short Term,7,1,29/01/2024 00:00,Approval removed,622,1,Female,TRUE,FALSE,3.05,TRUE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,TRUE,FALSE,TRUE
5,Female,White - British,0,FALSE,17,60,Residential,6,1,10/11/2024 00:00,N/A,623,1,Non binary,TRUE,TRUE,98.6,TRUE,N/A,5,N/A,0,including Mainstream,White - British,Residential,TRUE,FALSE,FALSE
2,Female,White - British,0,FALSE,8,65,Kinship,1,1,30/03/2023 00:00,N/A,176,1,Male,FALSE,TRUE,0.31,FALSE,N/A,1,N/A,0,including Mainstream,Roma,Kinship,TRUE,FALSE,FALSE
9,Male,White - British,0,FALSE,16,49,Fostering - Short Term,5,1,30/07/2024 00:00,N/A,106,1,Female,TRUE,TRUE,2.98,FALSE,N/A,1,N/A,0,including Mainstream,Asian/British Asian - Bangladeshi,Short Term Foster,FALSE,FALSE,TRUE
6,Female,White - British,0,FALSE,10,29,Residential,6,1,04/02/2022 00:00,N/A,784,1,Female,TRUE,FALSE,49.37,FALSE,N/A,8,N/A,0,including Mainstream,White - British,Residential,TRUE,TRUE,FALSE
9,Female,White - British,0,FALSE,15,26,Fostering - Short Term,4,1,20/11/2022 00:00,N/A,847,1,Trans Female,TRUE,TRUE,14.13,TRUE,N/A,6,N/A,0,including Mainstream,Asian/British Asian - Bangladeshi,Short Term Foster,TRUE,FALSE,FALSE
6,Male,White - Other,0,FALSE,12,49,Adoption,7,1,06/02/2024 00:00,N/A,87,1,Male,TRUE,FALSE,16.15,FALSE,N/A,8,N/A,0,including Mainstream,Gypsy / Roma,Adoption,TRUE,FALSE,FALSE
8,Non binary,White - British,0,TRUE,12,60,Fostering - Short Term,6,1,12/03/2024 00:00,Planned move to long-term fostering,698,1,Trans Female,TRUE,FALSE,3.26,FALSE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Asian,Short Term Foster,TRUE,FALSE,FALSE
0,Male,White - British,0,TRUE,18,41,Fostering - Short Term,7,1,09/01/2023 00:00,Approval removed,100,1,Male,TRUE,FALSE,17.24,TRUE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Other Ethnic Group,Short Term Foster,FALSE,TRUE,FALSE
